rule_id,pmd_native_category,our_category,reasoning
ClassWithOnlyPrivateConstructorsShouldBeFinal,Design,code_smells,A class with only private constructors cannot be subclassed and should be final.
CognitiveComplexity,Design,code_smells,High cognitive complexity makes methods hard to understand.
CollapsibleIfStatements,Design,code_smells,Nested if statements that can be collapsed with && reduce nesting.
CouplingBetweenObjects,Design,architectural_violations,High coupling between objects makes the system rigid and hard to change.
CyclomaticComplexity,Design,code_smells,Overly complex methods are hard to read and maintain.
DataClass,Design,code_smells,Classes that only hold data with no behavior are a design smell.
DoNotExtendJavaLangError,Design,code_smells,Extending Error is inappropriate for application-level exceptions.
ExceptionAsFlowControl,Design,code_smells,Using exceptions for control flow is inefficient and misleading.
ExcessiveClassLength,Design,code_smells,Excessively long classes do too much and should be split.
ExcessiveImports,Design,architectural_violations,Too many imports suggests a class is coupled to too many other components.
ExcessiveMethodLength,Design,code_smells,Very long methods are hard to understand and test.
ExcessiveParameterList,Design,code_smells,Too many method parameters is a sign of poor design.
ExcessivePublicCount,Design,architectural_violations,Too many public methods/fields exposes too much of the class internals.
FinalFieldCouldBeStatic,Design,code_smells,A final field that doesn't depend on instance state should be static.
GodClass,Design,architectural_violations,A class doing too much violates single-responsibility; it is a structural problem.
ImmutableField,Design,code_smells,Fields that are only assigned in constructor should be final.
InsufficientStringBufferDeclaration,Design,performance_issues,Under-sized StringBuffer initial capacity causes unnecessary resizing.
LawOfDemeter,Design,architectural_violations,Violating Law of Demeter increases coupling between unrelated components.
LogicInversion,Design,code_smells,Inverted logic conditions reduce readability.
LoosePackageCoupling,Design,architectural_violations,Coupling to specific packages instead of interfaces violates layering.
MutableStaticState,Design,code_smells,Mutable static fields are shared global state and hard to reason about.
NPathComplexity,Design,code_smells,Too many execution paths in a method makes it hard to test.
NcssCount,Design,code_smells,High non-commenting source statement count indicates overly complex code.
SignatureDeclareThrowsException,Design,code_smells,Declaring throws Exception is too broad.
SimplifiedTernary,Design,code_smells,Ternary expressions that can be simplified should be.
SimplifyBooleanAssertion,Design,code_smells,Overly verbose boolean assertions can be simplified.
SimplifyBooleanExpressions,Design,code_smells,Complex boolean expressions should be simplified.
SimplifyBooleanReturns,Design,code_smells,Returning true/false from an if/else can be replaced with the boolean expression.
SimplifyConditional,Design,code_smells,Null checks before instanceof are redundant since instanceof handles null.
SingularField,Design,code_smells,A field used by only one method should be a local variable.
SwitchDensity,Design,code_smells,High density of statements in switch cases indicates the logic should be refactored.
TooFewBranchesForASwitchStatement,Design,code_smells,A switch with too few cases should be an if/else.
TooManyFields,Design,code_smells,A class with too many fields is likely doing too much.
TooManyMethods,Design,code_smells,A class with too many methods is likely doing too much.
UseObjectForClearerAPI,Design,code_smells,Multiple boolean parameters should be replaced with an object for clarity.
UseUtilityClass,Design,architectural_violations,A class with only static methods should be a utility class (private constructor).
CommentContent,Documentation,code_smells,Comments should not contain suspicious words like TODO left unresolved.
CommentRequired,Documentation,code_smells,Public APIs should have Javadoc comments.
CommentSize,Documentation,code_smells,Overly long comments may contain outdated or excessive information.
UncommentedEmptyConstructor,Documentation,code_smells,Empty constructors should have a comment explaining why they are empty.
UncommentedEmptyMethodBody,Documentation,code_smells,Empty method bodies should have a comment explaining the intent.
AvoidAccessibilityAlteration,Error Prone,code_smells,Changing field accessibility via reflection is fragile and bypasses encapsulation.
AvoidAssertAsIdentifier,Error Prone,outdated_patterns,assert was a keyword added in Java 1.4; using it as identifier breaks in modern Java.
AvoidBranchingStatementAsLastInLoop,Error Prone,code_smells,Break/continue/return as last statement in a loop is confusing.
AvoidCallingFinalize,Error Prone,code_smells,Manually calling finalize() is unreliable and deprecated.
AvoidCatchingNPE,Error Prone,code_smells,Catching NullPointerException masks bugs that should be fixed.
AvoidCatchingThrowable,Error Prone,code_smells,Catching Throwable also catches Errors which should not be caught by applications.
AvoidDecimalLiteralsInBigDecimalConstructor,Error Prone,code_smells,BigDecimal(double) loses precision; use BigDecimal(String) instead.
AvoidDuplicateLiterals,Error Prone,code_smells,Duplicate string literals should be constants.
AvoidEnumAsIdentifier,Error Prone,outdated_patterns,enum became a keyword in Java 5; using it as identifier breaks in modern Java.
AvoidFieldNameMatchingMethodName,Error Prone,code_smells,Fields with same name as methods are confusing.
AvoidFieldNameMatchingTypeName,Error Prone,code_smells,Fields named the same as their type are confusing.
AvoidInstanceofChecksInCatchClause,Error Prone,code_smells,Instanceof in catch blocks is a sign of poor exception hierarchy design.
AvoidLiteralsInIfCondition,Error Prone,code_smells,Magic numbers in conditions should be named constants.
AvoidLosingExceptionInformation,Error Prone,code_smells,Swallowing exception information makes debugging impossible.
AvoidMultipleUnaryOperators,Error Prone,code_smells,Multiple unary operators like !!x are confusing.
AvoidUsingOctalValues,Error Prone,code_smells,Octal literals (starting with 0) are easily confused with decimal.
BadComparison,Error Prone,code_smells,Comparing floating point values with == is unreliable.
BrokenNullCheck,Error Prone,code_smells,Incorrect null checks that are logically flawed.
CheckSkipResult,Error Prone,code_smells,Ignoring InputStream.skip() return value can cause partial skips.
ClassCastExceptionWithToArray,Error Prone,code_smells,Incorrect use of toArray() causes ClassCastException at runtime.
CloneMethodMustBePublic,Error Prone,code_smells,clone() must be public to be useful via the Cloneable interface.
CloneMethodMustImplementCloneable,Error Prone,code_smells,Classes overriding clone() should implement Cloneable.
CloneMethodReturnTypeMustMatchClassName,Error Prone,code_smells,clone() return type should be the class type for usability.
CloneThrowsCloneNotSupportedException,Error Prone,code_smells,clone() should throw CloneNotSupportedException for proper contract.
CloseResource,Error Prone,code_smells,Resources like streams must be closed to avoid resource leaks.
CompareObjectsWithEquals,Error Prone,code_smells,Comparing objects with == instead of equals() checks reference not value.
ComparisonWithNaN,Error Prone,code_smells,Comparing with NaN using == always returns false; use Double.isNaN().
ConstructorCallsOverridableMethod,Error Prone,code_smells,Calling overridable methods in constructors can lead to unexpected behavior.
DataflowAnomalyAnalysis,Error Prone,code_smells,Detects use-before-assign and similar dataflow anomalies.
DoNotCallGarbageCollectionExplicitly,Error Prone,performance_issues,Explicit GC calls are unreliable and can degrade performance.
DoNotCallSystemExit,Error Prone,code_smells,Calling System.exit() in libraries is dangerous.
DoNotExtendJavaLangThrowable,Error Prone,code_smells,Extending Throwable directly is unconventional; extend Exception instead.
DoNotHardCodeSDCard,Error Prone,code_smells,Hard-coded SD card paths are not portable.
DoNotTerminateVM,Error Prone,code_smells,Methods that terminate the JVM should not be called in library code.
DoNotThrowExceptionInFinally,Error Prone,code_smells,Throwing in finally blocks masks the original exception.
DontImportSun,Error Prone,outdated_patterns,sun.* packages are internal/unstable APIs that should not be used.
DontUseFloatTypeForLoopIndices,Error Prone,code_smells,Float loop indices lose precision due to floating-point representation.
EmptyCatchBlock,Error Prone,code_smells,Empty catch blocks silently swallow exceptions.
EmptyFinalizer,Error Prone,code_smells,Empty finalizers waste overhead with no benefit.
EmptyFinallyBlock,Error Prone,code_smells,Empty finally blocks add no value.
EmptyIfStmt,Error Prone,code_smells,Empty if statements are likely incomplete logic.
EmptyInitializer,Error Prone,code_smells,Empty initializer blocks serve no purpose.
EmptyStatementBlock,Error Prone,code_smells,Empty statement blocks are dead code.
EmptyStatementNotInLoop,Error Prone,code_smells,An empty statement (lone semicolon) outside a loop is likely a typo.
EmptySwitchStatements,Error Prone,code_smells,Empty switch statements serve no purpose.
EmptySynchronizedBlock,Error Prone,code_smells,Empty synchronized blocks provide no useful synchronization.
EmptyTryBlock,Error Prone,code_smells,Empty try blocks are likely incomplete code.
EmptyWhileStmt,Error Prone,code_smells,Empty while statements are likely bugs.
EqualsNull,Error Prone,code_smells,Calling equals(null) always returns false; use == null instead.
FinalizeDoesNotCallSuperFinalize,Error Prone,code_smells,finalize() should call super.finalize() to ensure proper cleanup.
FinalizeOnlyCallsSuperFinalize,Error Prone,code_smells,finalize() that only calls super is redundant.
FinalizeOverloaded,Error Prone,code_smells,Overloading finalize() with arguments is confusing and not called by the JVM.
FinalizeShouldBeProtected,Error Prone,code_smells,finalize() should be protected not public.
IdempotentOperations,Error Prone,code_smells,Idempotent operations like x = x; are dead code.
ImportFromSamePackage,Error Prone,code_smells,Importing from the same package is redundant.
InstantiationToGetClass,Error Prone,code_smells,Creating an instance just to call getClass() is inefficient; use .class literal.
InvalidLogMessageFormat,Error Prone,code_smells,Incorrect number of arguments in SLF4J/Log4j2 log messages.
JumbledIncrementer,Error Prone,code_smells,Using the wrong loop variable to increment in nested loops.
JUnitSpelling,Error Prone,code_smells,Misspelled JUnit lifecycle method names won't be called by the framework.
JUnitStaticSuite,Error Prone,code_smells,The JUnit suite() method must be static.
LoggerIsNotStaticFinal,Error Prone,code_smells,Loggers should be private static final.
MethodWithSameNameAsEnclosingClass,Error Prone,code_smells,A method with the same name as its class looks like a constructor but isn't.
MisplacedNullCheck,Error Prone,code_smells,Null check on wrong side of && or || is always evaluated even when it shouldn't be.
MissingBreakInSwitch,Error Prone,code_smells,Missing break in switch cases causes unintended fall-through.
MissingSerialVersionUID,Error Prone,code_smells,Serializable classes should define serialVersionUID for version control.
MissingStaticMethodInNonInstantiatableClass,Error Prone,code_smells,Non-instantiatable class with no static methods serves no purpose.
MoreThanOneLogger,Error Prone,code_smells,Having more than one logger in a class is unusual and likely a mistake.
NonCaseLabelInSwitchStatement,Error Prone,code_smells,Non-case labels inside switch statements are confusing.
NonStaticInitializer,Error Prone,code_smells,Non-static initializers are obscure and error-prone.
NullAssignment,Error Prone,code_smells,Assigning null outside declaration is often a sign of design issues.
OnlyOneReturn,Error Prone,code_smells,Multiple return points increase complexity.
OverrideBothEqualsAndHashcode,Error Prone,code_smells,Overriding only equals or only hashCode violates the contract between them.
ProperCloneImplementation,Error Prone,code_smells,clone() should call super.clone() not new constructor to respect inheritance.
ProperLogger,Error Prone,code_smells,Logger should be named consistently (e.g. log or logger).
ReturnEmptyCollectionRatherThanNull,Error Prone,code_smells,Returning null instead of empty collection forces null checks on callers.
ReturnFromFinallyBlock,Error Prone,code_smells,Returning from finally discards exceptions.
SimpleDateFormatNeedsLocale,Error Prone,code_smells,SimpleDateFormat without locale produces locale-dependent results.
SingleMethodSingleton,Error Prone,architectural_violations,Singleton pattern with single accessor method may not be thread-safe.
SingletonClassReturningNewInstance,Error Prone,architectural_violations,Singleton that returns new instances defeats the pattern entirely.
StaticEJBFieldShouldBeFinal,Error Prone,code_smells,Static fields in EJBs shared across instances should be final.
StringBufferInstantiationWithChar,Error Prone,code_smells,StringBuffer(char) is not a valid constructor; it creates a buffer with given capacity.
SuspiciousEqualsMethodName,Error Prone,code_smells,Method named equals but not overriding Object.equals is suspicious.
SuspiciousHashcodeMethodName,Error Prone,code_smells,Method named hashcode (lowercase) does not override Object.hashCode().
SuspiciousOctalEscape,Error Prone,code_smells,Octal escape sequences in strings can be confused with decimal.
TestClassWithoutTestCases,Error Prone,code_smells,A class named Test with no test methods is likely incomplete.
UnconditionalIfStatement,Error Prone,code_smells,An if statement with a constant condition is dead code.
UnnecessaryBooleanAssertion,Error Prone,code_smells,assertTrue(true) and similar trivial assertions test nothing.
UnnecessaryCaseChange,Error Prone,code_smells,Converting case for comparison when equalsIgnoreCase exists is unnecessary.
UnnecessaryConversionTemporary,Error Prone,code_smells,Creating temporary objects for conversion is inefficient.
UnusedNullCheckInEquals,Error Prone,code_smells,Null check before calling equals is redundant since equals handles null.
UseCorrectExceptionLogging,Error Prone,code_smells,Exception should be passed to logger not just its message.
UseEqualsToCompareStrings,Error Prone,code_smells,Strings compared with == check reference not value.
UselessOperationOnImmutable,Error Prone,code_smells,Operations on immutable objects like String that ignore the result are bugs.
UseLocaleWithCaseConversions,Error Prone,code_smells,String case conversions without locale produce inconsistent results.
UseProperClassLoader,Error Prone,code_smells,Wrong ClassLoader usage in J2EE contexts can cause ClassNotFoundException.
AvoidThreadGroup,Multithreading,code_smells,ThreadGroup is largely obsolete and has broken thread handling methods.
AvoidUsingVolatileField,Multithreading,code_smells,Volatile fields alone don't guarantee atomicity for compound operations.
DoNotUseThreads,Multithreading,architectural_violations,In J2EE environments direct thread creation violates container management rules.
DontCallThreadRun,Multithreading,code_smells,Calling thread.run() directly executes in current thread not a new one.
DoubleCheckedLocking,Multithreading,code_smells,Double-checked locking is broken in Java without volatile keyword.
NonThreadSafeSingleton,Multithreading,architectural_violations,Singleton implementation that is not thread-safe causes race conditions.
UnsynchronizedStaticFormatter,Multithreading,code_smells,Static formatters like SimpleDateFormat are not thread-safe.
UseNotifyAllInsteadOfNotify,Multithreading,code_smells,notify() may not wake the right thread; notifyAll() is safer.
AddEmptyString,Performance,performance_issues,Adding empty string to convert to String creates unnecessary objects.
AppendCharacterWithChar,Performance,performance_issues,Appending a single-character string should use char literal for efficiency.
AvoidArrayLoops,Performance,performance_issues,Manual array copy loops should use System.arraycopy() for performance.
AvoidCalendarDateCreation,Performance,performance_issues,Creating Calendar/Date objects is expensive; reuse or use newer APIs.
AvoidFileStream,Performance,performance_issues,FileInputStream/FileOutputStream are less efficient than channel-based alternatives.
AvoidInstantiatingObjectsJustToGetClass,Performance,performance_issues,Instantiating an object just to call getClass() wastes memory; use .class.
AvoidUsingShortType,Performance,performance_issues,Short arithmetic promotes to int causing unnecessary conversions.
BigIntegerInstantiation,Performance,outdated_patterns,"Use BigInteger.ZERO/ONE/TEN constants instead of new BigInteger(""0"") etc."
BooleanInstantiation,Performance,outdated_patterns,Use Boolean.TRUE/FALSE instead of new Boolean() which is deprecated.
ByteInstantiation,Performance,outdated_patterns,Use Byte.valueOf() instead of new Byte() which is deprecated.
ConsecutiveAppendsShouldReuse,Performance,performance_issues,Consecutive appends should reuse the same StringBuilder reference.
ConsecutiveLiteralAppends,Performance,performance_issues,Consecutive string literal appends should be combined into one.
InefficientEmptyStringCheck,Performance,performance_issues,Trimming then checking isEmpty is inefficient; use isBlank() in Java 11+.
InefficientStringBuffering,Performance,performance_issues,Concatenating strings before appending to StringBuilder defeats its purpose.
InsufficientStringBufferDeclaration,Performance,performance_issues,Under-sized initial capacity causes multiple internal resizes.
IntegerInstantiation,Performance,outdated_patterns,Use Integer.valueOf() instead of new Integer() which is deprecated.
LongInstantiation,Performance,outdated_patterns,Use Long.valueOf() instead of new Long() which is deprecated.
OptimizableToArrayCall,Performance,performance_issues,toArray(new T[list.size()]) is slower than toArray(new T[0]) in modern JVMs.
RedundantFieldInitializer,Performance,performance_issues,Initializing fields to their default values (null/0/false) wastes space.
ShortInstantiation,Performance,outdated_patterns,Use Short.valueOf() instead of new Short() which is deprecated.
SimplifyStartsWith,Performance,performance_issues,startsWith with single char can use charAt(0) for performance.
StringInstantiation,Performance,performance_issues,"new String(""literal"") creates an unnecessary duplicate object."
StringToString,Performance,performance_issues,Calling toString() on a String is redundant.
UseArrayListInsteadOfVector,Performance,outdated_patterns,Vector is synchronized legacy class; ArrayList is preferred.
UseArraysAsList,Performance,performance_issues,Manual array-to-list conversion should use Arrays.asList().
UseIndexOfChar,Performance,performance_issues,indexOf with single char string should use char version for performance.
UselessStringValueOf,Performance,performance_issues,String.valueOf() is redundant when concatenating with string.
UseStringBufferForStringAppends,Performance,performance_issues,String concatenation in loops creates many temporary objects; use StringBuilder.
UseStringBufferLength,Performance,performance_issues,Converting StringBuffer to String just to check length is inefficient.
HardCodedCryptoKey,Security,code_smells,Hard-coded cryptographic keys are a security vulnerability.
InsecureCryptoIv,Security,code_smells,Hard-coded initialization vectors in crypto operations are insecure.
AssignmentInOperand,Error Prone,code_smells,Assignments inside conditional expressions are easy to misread as equality checks.
AvoidInstantiatingObjectsInLoops,Performance,performance_issues,Allocating objects inside loops causes unnecessary memory pressure and GC churn.
AvoidUsingVolatile,Multithreading,concurrency_issues,Volatile semantics are subtle and often misused instead of proper synchronization.
DanglingJavadoc,Documentation,code_smells,Javadoc comments not attached to a code element indicate incomplete or stale documentation.
ForLoopCanBeForeach,Best Practices,code_smells,Manual index-based loops where foreach is clearer and less error-prone.
LambdaCanBeMethodReference,Best Practices,code_smells,Lambdas that just call a single method should be replaced with method references for clarity.
LiteralsFirstInComparisons,Best Practices,code_smells,Calling equals on a variable before checking null risks NullPointerException.
NonExhaustiveSwitch,Best Practices,code_smells,Switch without a default branch may silently ignore unhandled values.
TypeParameterNamingConventions,Code Style,code_smells,Type parameter names should follow Java conventions for readability.
