question_id,model_a,model_b,winner,judge,turn,language,benchmark
fac93e36ee114668a73c58c91ffeeb76,koala-13b,vicuna-13b,model_a,arena_user_1246,1,English,chatbot_arena
b9b6dade88f34b9c90e5de621675258e,vicuna-13b,alpaca-13b,tie,arena_user_1245,1,English,chatbot_arena
3ca642d1557047e896f22ef0d49fa233,vicuna-13b,dolly-v2-12b,model_b,arena_user_316,1,English,chatbot_arena
48a0aedb6e7d4c9eb711b860a84398a1,vicuna-13b,oasst-pythia-12b,model_a,arena_user_1082,1,English,chatbot_arena
fa56e231569d460089a2996c8ef771e9,koala-13b,vicuna-13b,model_b,arena_user_1082,1,Latin,chatbot_arena
54cf2f3abc714a99a966af7cde90219a,oasst-pythia-12b,vicuna-13b,model_b,arena_user_981,1,English,chatbot_arena
5fafefb8a0c54243afb52d2892946cea,koala-13b,vicuna-13b,model_b,arena_user_316,3,English,chatbot_arena
0fcdc18a40824fdc9706bf010d76b77c,vicuna-13b,dolly-v2-12b,model_a,arena_user_1242,1,English,chatbot_arena
8e116eb893dd4dc89614cd7ae1654b17,vicuna-13b,koala-13b,tie,arena_user_316,3,French,chatbot_arena
7834f572267f40709ecebb273a2b346b,chatglm-6b,stablelm-tuned-alpha-7b,tie,arena_user_316,3,English,chatbot_arena
137755865eb24e01815b45ff7f557be0,koala-13b,vicuna-13b,model_b,arena_user_981,1,English,chatbot_arena
1ccc7e58290245c4bd5457fce45f8640,vicuna-13b,koala-13b,model_a,arena_user_1242,2,English,chatbot_arena
77a6fe1917e84c17b34c6d168c8327fc,vicuna-13b,alpaca-13b,model_b,arena_user_1132,1,English,chatbot_arena
f222ca17e837463c92fbc46827745456,koala-13b,vicuna-13b,tie,arena_user_982,1,English,chatbot_arena
0d096a65525f4fca88e308dc4fa8c9d5,alpaca-13b,koala-13b,model_b,arena_user_982,2,English,chatbot_arena
d3ac68bb4ec2489faeaaf42fbe31ed59,vicuna-13b,stablelm-tuned-alpha-7b,model_b,arena_user_1189,1,English,chatbot_arena
1bf29d8e0d26467aba8e75cd1d620f70,koala-13b,oasst-pythia-12b,tie,arena_user_1134,1,English,chatbot_arena
482c48d602704ecba706287177adc75b,vicuna-13b,dolly-v2-12b,model_a,arena_user_982,2,English,chatbot_arena
08495d4ab2514e7ca511e494dd96a596,vicuna-13b,koala-13b,tie,arena_user_1085,1,English,chatbot_arena
d5c082dc814648f1b8e8459f2433e655,alpaca-13b,koala-13b,model_b,arena_user_779,1,English,chatbot_arena
892648bde822484eb5af0356331e7053,koala-13b,vicuna-13b,model_b,arena_user_936,1,English,chatbot_arena
0d93b9970be44b0fbc14b42eea0c4678,chatglm-6b,oasst-pythia-12b,model_a,arena_user_983,1,English,chatbot_arena
1808a2a2239a49e18726d71017cea017,oasst-pythia-12b,koala-13b,model_b,arena_user_830,1,English,chatbot_arena
c729ce01675847bea102b29f7baa281e,koala-13b,vicuna-13b,model_b,arena_user_780,1,Arabic,chatbot_arena
884550a835bb46378ca4defecfd01c20,vicuna-13b,oasst-pythia-12b,model_a,arena_user_781,2,English,chatbot_arena
0eb5e609dcd64d02a8f7dda909de5858,vicuna-13b,llama-13b,model_a,arena_user_830,1,English,chatbot_arena
66abfce97ac24dc9979679796a9bcdde,koala-13b,vicuna-13b,model_b,arena_user_1086,2,English,chatbot_arena
dc7f0ea67aa94095adc8b48205af363b,vicuna-13b,koala-13b,model_b,arena_user_982,1,English,chatbot_arena
c284f2bf6c7243b5aad2b5539fec9866,vicuna-13b,alpaca-13b,model_b,arena_user_782,1,English,chatbot_arena
0c79e21662844d58a6d357afc6ec3dac,vicuna-13b,koala-13b,tie,arena_user_1086,3,English,chatbot_arena
7b6370efdace47b9a47a6c136258f86b,vicuna-13b,koala-13b,model_b,arena_user_782,1,English,chatbot_arena
56d27226d9734c7bb1a9f09ae4b8d955,vicuna-13b,koala-13b,model_a,arena_user_1137,1,Italian,chatbot_arena
d2fb00b06efa4584851d566e24614135,vicuna-13b,dolly-v2-12b,model_a,arena_user_1086,1,English,chatbot_arena
cee2616f8314414484932132db8897f6,koala-13b,chatglm-6b,model_a,arena_user_779,1,English,chatbot_arena
22af98b642bf49b38ee6b9b0f470219a,oasst-pythia-12b,koala-13b,model_b,arena_user_1190,1,English,chatbot_arena
8a149df1b65149fbacf03942ad5381b6,vicuna-13b,koala-13b,model_a,arena_user_1086,3,English,chatbot_arena
0463a94054834d7496af695c803f6495,vicuna-13b,koala-13b,model_b,arena_user_884,2,English,chatbot_arena
1d229c33f57f438aad00868c7f9bcedb,vicuna-13b,koala-13b,model_b,arena_user_782,1,English,chatbot_arena
ba8d59ff16134a1386c1ed320ae5f837,vicuna-13b,llama-13b,model_a,arena_user_831,1,unknown,chatbot_arena
bfa6eb28d7bd48f78394284003a79a44,oasst-pythia-12b,vicuna-13b,tie,arena_user_937,1,Latvian,chatbot_arena
b0dc50eed3d94704b6a4e252e210bdaa,alpaca-13b,oasst-pythia-12b,model_b,arena_user_1087,1,English,chatbot_arena
847f710e35d24f4fab1957ec29acd190,koala-13b,vicuna-13b,model_b,arena_user_832,1,English,chatbot_arena
68d973b468f94340a60c1f1bf1fde4d2,chatglm-6b,vicuna-13b,tie,arena_user_982,4,English,chatbot_arena
83c14e0c1f294b66916e1a387941af36,vicuna-13b,koala-13b,model_a,arena_user_986,1,English,chatbot_arena
442202c967a547a0a31446e610ec6c64,vicuna-13b,koala-13b,model_a,arena_user_986,1,English,chatbot_arena
82648137d76741fe8007c8037e775f00,vicuna-13b,koala-13b,model_a,arena_user_783,1,Portuguese,chatbot_arena
ca48a996d0ff44ab9f42592be3b6d0f1,koala-13b,llama-13b,model_a,arena_user_1139,1,Japanese,chatbot_arena
be0f6bf4ec6d459ab8b6a96a8f973de1,vicuna-13b,alpaca-13b,model_a,arena_user_982,5,English,chatbot_arena
7ac156abba194e3286137ff5bc3b6a20,vicuna-13b,koala-13b,model_b,arena_user_937,1,English,chatbot_arena
efe500a1e76b41d29a949419133fd2f3,chatglm-6b,vicuna-13b,model_b,arena_user_986,1,English,chatbot_arena
09340e9dbf684ec68b1f14891a415068,oasst-pythia-12b,alpaca-13b,tie,arena_user_1191,4,English,chatbot_arena
95579a083e4047e384f41ab6d7ce9e44,vicuna-13b,llama-13b,model_a,arena_user_784,1,English,chatbot_arena
29a38b93020c4550beb4e23bbe8e808a,koala-13b,vicuna-13b,model_b,arena_user_783,1,Portuguese,chatbot_arena
d248eaf6de6e40aca61222c9b526cfc1,vicuna-13b,koala-13b,model_b,arena_user_885,2,English,chatbot_arena
cfd7f7e7b4644addb405f2774a4bd5f4,koala-13b,oasst-pythia-12b,model_b,arena_user_987,1,English,chatbot_arena
721f624ebba8498386a72a75a4bddcd3,alpaca-13b,llama-13b,tie,arena_user_1192,5,English,chatbot_arena
ab21da5438a94ab4a93d6ff0b66cf8b8,oasst-pythia-12b,vicuna-13b,model_b,arena_user_1046,1,English,chatbot_arena
5bbcf15ca41b48bb8dd3cb02cbab31b7,vicuna-13b,alpaca-13b,model_a,arena_user_779,2,English,chatbot_arena
50e54d6c6e194036887c3f35a52e3c67,vicuna-13b,koala-13b,tie,arena_user_986,1,English,chatbot_arena
d863f1acfb6f4a7688e828399710281a,vicuna-13b,koala-13b,model_b,arena_user_1088,1,English,chatbot_arena
9433347eca81489883b38642a9808497,alpaca-13b,oasst-pythia-12b,model_b,arena_user_938,1,German,chatbot_arena
0834e257189848969ebeafc8b2319de4,koala-13b,vicuna-13b,model_b,arena_user_1191,2,English,chatbot_arena
78c8a31836c34fd294d8bd02591a7a01,vicuna-13b,oasst-pythia-12b,model_a,arena_user_1192,1,English,chatbot_arena
158fdef91e7549b38a54f1d0bf0b9071,vicuna-13b,koala-13b,model_a,arena_user_988,1,English,chatbot_arena
4381c01f4c754ad48ba48b06005205c9,llama-13b,koala-13b,tie,arena_user_886,1,English,chatbot_arena
3d239ce5b0c943fca81e73f61412d7f8,vicuna-13b,dolly-v2-12b,model_a,arena_user_887,1,English,chatbot_arena
eb50427500f84efd86a9d6b309078d8e,vicuna-13b,dolly-v2-12b,model_a,arena_user_1192,2,English,chatbot_arena
a0765fed811b491d9cd1d556e774390b,vicuna-13b,oasst-pythia-12b,model_a,arena_user_779,2,English,chatbot_arena
73309096a6b448548bb0d1a0155b3641,vicuna-13b,koala-13b,model_b,arena_user_1048,1,English,chatbot_arena
74df3f8bf2ea4720baa3d4be869bedc5,koala-13b,vicuna-13b,model_b,arena_user_888,1,English,chatbot_arena
2ca2c7b606334f71994636bd00164cd0,llama-13b,koala-13b,model_a,arena_user_1192,2,English,chatbot_arena
c90fff6224d44bcf8c79d5b3953a0170,vicuna-13b,stablelm-tuned-alpha-7b,model_b,arena_user_888,2,English,chatbot_arena
e2031c6fe33f416da86a969274e5ecaf,alpaca-13b,dolly-v2-12b,model_a,arena_user_988,2,English,chatbot_arena
86ef885b5fb84de8843d72ae8cc7204a,vicuna-13b,koala-13b,tie,arena_user_1192,2,English,chatbot_arena
b0c343364ffb458083fed7b573bfce0f,vicuna-13b,koala-13b,model_a,arena_user_988,1,English,chatbot_arena
a1d915a24ee94d9d9ae6b4e140249c81,vicuna-13b,oasst-pythia-12b,model_a,arena_user_1192,1,English,chatbot_arena
47c7c8331da043eb825b7481f98fa48d,koala-13b,dolly-v2-12b,model_a,arena_user_889,1,Spanish,chatbot_arena
f84ccecd0e5a43bab6080b709bee895a,koala-13b,stablelm-tuned-alpha-7b,tie,arena_user_1089,1,English,chatbot_arena
78590d2f2dbf4fa793dc4f51b5e4500a,koala-13b,llama-13b,tie,arena_user_888,1,English,chatbot_arena
6d4de3be8e734f91b160b4646b0524a1,llama-13b,koala-13b,model_b,arena_user_1140,1,English,chatbot_arena
a221176bb381459cb8a324fa43679ae3,koala-13b,alpaca-13b,model_b,arena_user_1192,4,English,chatbot_arena
cbf5c61800e84a539c74fa332723b277,oasst-pythia-12b,vicuna-13b,model_b,arena_user_1194,1,English,chatbot_arena
824f239ca58442a3aff103bc65cd06ff,koala-13b,vicuna-13b,model_a,arena_user_888,3,English,chatbot_arena
e14b8d0847bc4913bd9d124f33eef2b2,vicuna-13b,oasst-pythia-12b,model_b,arena_user_1141,1,English,chatbot_arena
81c9f957e6aa43db90a03a490cbb5e78,vicuna-13b,koala-13b,tie,arena_user_1089,1,English,chatbot_arena
b2bd862733754f5d9901ddd2ded7a030,stablelm-tuned-alpha-7b,llama-13b,model_a,arena_user_990,1,English,chatbot_arena
b000c594a3594fdc80a4a3c3547364a4,vicuna-13b,alpaca-13b,model_a,arena_user_1089,1,English,chatbot_arena
d0bedf9557544b509eeffde198bf9f3d,vicuna-13b,koala-13b,tie,arena_user_890,1,English,chatbot_arena
dd2685fc038a4e41bb5adf14830ce4f7,llama-13b,dolly-v2-12b,model_b,arena_user_1192,2,English,chatbot_arena
d1b8840840dc45868dcf1506dd324935,vicuna-13b,oasst-pythia-12b,tie,arena_user_992,2,English,chatbot_arena
a29f59b055a3483aa19596c4c9ec4f9a,vicuna-13b,dolly-v2-12b,model_a,arena_user_1090,1,English,chatbot_arena
3e4c35469baf4d4a99561a392d795954,koala-13b,vicuna-13b,model_b,arena_user_1192,2,English,chatbot_arena
132864941c7341e1ad46aab9252529ef,koala-13b,vicuna-13b,tie,arena_user_1250,2,English,chatbot_arena
d0b1bb3a355840658857be765415b507,alpaca-13b,vicuna-13b,model_b,arena_user_1192,2,English,chatbot_arena
25b8f7dc47094428aac2424338c694df,oasst-pythia-12b,stablelm-tuned-alpha-7b,model_a,arena_user_836,1,English,chatbot_arena
18051ba612d04779881d09f6c6736dbd,koala-13b,vicuna-13b,model_b,arena_user_890,1,English,chatbot_arena
f321fbaae65a4a8a818c44771f0c9dcb,oasst-pythia-12b,dolly-v2-12b,model_a,arena_user_1250,4,English,chatbot_arena
22e047126452488aa3c8588ca40df922,koala-13b,stablelm-tuned-alpha-7b,model_a,arena_user_1192,2,English,chatbot_arena
5f0af0123af84c67ad320b57f102787d,dolly-v2-12b,vicuna-13b,model_b,arena_user_942,1,English,chatbot_arena
7abfd006a4684f1fb23ba6d18d8ab564,koala-13b,vicuna-13b,tie,arena_user_1195,1,English,chatbot_arena
3af57ae6b73847d99150cd9b276ee41a,vicuna-13b,alpaca-13b,model_a,arena_user_1089,1,English,chatbot_arena
972718068c0b4df4b5da78c8b246ea1d,vicuna-13b,koala-13b,model_a,arena_user_1249,1,English,chatbot_arena
27b4a6e671f54275bb9e1e88c62ad867,koala-13b,llama-13b,tie,arena_user_779,4,English,chatbot_arena
05b58ac48132441285e80b226bcced3e,stablelm-tuned-alpha-7b,koala-13b,model_b,arena_user_1192,2,English,chatbot_arena
a556c36a02fe45be83973ac2693e50bb,vicuna-13b,koala-13b,tie,arena_user_836,1,English,chatbot_arena
6a77dc62487441318e1910c209629564,koala-13b,vicuna-13b,tie,arena_user_1091,2,English,chatbot_arena
d5f3a8fd61fb4ec4b276f17b139d660e,koala-13b,vicuna-13b,model_b,arena_user_1142,1,German,chatbot_arena
e86e504e6af948d7bbfe5b27884ac1ea,dolly-v2-12b,vicuna-13b,model_b,arena_user_1092,1,English,chatbot_arena
d4ff99719bff474d8bdc9f17bf58d18d,vicuna-13b,dolly-v2-12b,model_a,arena_user_1192,2,English,chatbot_arena
fabaefca92e342b497fd64955850f757,llama-13b,koala-13b,model_b,arena_user_1091,1,English,chatbot_arena
de901503183c4438a36b13ace3ce0f5d,oasst-pythia-12b,vicuna-13b,tie,arena_user_1142,1,English,chatbot_arena
343961918d0348569ee597a26e7dcb5b,koala-13b,stablelm-tuned-alpha-7b,model_a,arena_user_837,1,English,chatbot_arena
f5cd8397e2e84a42af8a9a279bf7ba0f,oasst-pythia-12b,alpaca-13b,model_b,arena_user_1091,2,English,chatbot_arena
0f3855e988f94075ac71cf7ec7be5651,chatglm-6b,vicuna-13b,model_b,arena_user_185,1,English,chatbot_arena
5e3e25df9f214f8e8d8e24af99742f74,koala-13b,vicuna-13b,model_a,arena_user_1251,1,English,chatbot_arena
dc54e74a22c3461995055fda840bbc7f,oasst-pythia-12b,vicuna-13b,model_b,arena_user_1192,1,English,chatbot_arena
e98c979d90d84e9b8028b142a6243826,alpaca-13b,stablelm-tuned-alpha-7b,model_a,arena_user_836,1,English,chatbot_arena
daa6eddfefbe4579a7936f8ad0f7ce6a,vicuna-13b,dolly-v2-12b,tie,arena_user_1091,1,English,chatbot_arena
b814fc62acb54da38a161c6042c86d1e,vicuna-13b,chatglm-6b,tie,arena_user_1142,1,English,chatbot_arena
df15beace1e541a892980be5d9762028,dolly-v2-12b,oasst-pythia-12b,model_b,arena_user_836,1,English,chatbot_arena
3c03889aad554048916afc511417e40b,vicuna-13b,oasst-pythia-12b,model_a,arena_user_779,2,English,chatbot_arena
d31f4bbef7f54e3188311ef7c864bb64,vicuna-13b,dolly-v2-12b,model_a,arena_user_1192,2,English,chatbot_arena
0628689c283f475d806c11d8e0c6c42b,vicuna-13b,oasst-pythia-12b,model_a,arena_user_1144,3,English,chatbot_arena
0ba71a41d7ad4e1986569e63a7070a42,vicuna-13b,dolly-v2-12b,model_a,arena_user_1196,1,English,chatbot_arena
c623b96f5fca47ec89d929a80a4a1186,dolly-v2-12b,vicuna-13b,model_b,arena_user_838,1,English,chatbot_arena
c218264512424ae1afee82f6713bf57a,oasst-pythia-12b,koala-13b,tie,arena_user_1253,1,English,chatbot_arena
434df271945c44e388c66a058813f5dc,dolly-v2-12b,koala-13b,model_b,arena_user_894,3,English,chatbot_arena
b4d4c3e1691048babffb14ce539b34dc,vicuna-13b,koala-13b,tie,arena_user_895,2,Spanish,chatbot_arena
71bb4d5033ee4721b76784099378f45f,vicuna-13b,koala-13b,model_a,arena_user_836,1,English,chatbot_arena
98574ba10ea54efbab3c45f0aca46df6,koala-13b,alpaca-13b,tie,arena_user_896,1,English,chatbot_arena
9c46e62e3549493c9065cbf067eb1fe1,dolly-v2-12b,alpaca-13b,model_a,arena_user_1253,1,English,chatbot_arena
d5de453213434172abeafbf9eb0ffb3c,vicuna-13b,oasst-pythia-12b,model_a,arena_user_786,2,English,chatbot_arena
9fdd17669ef24b9facddd471b0531f9c,koala-13b,vicuna-13b,model_b,arena_user_1199,1,English,chatbot_arena
f95d0649a2344c1c90e16aab0064c254,oasst-pythia-12b,koala-13b,model_b,arena_user_897,1,English,chatbot_arena
eb528b8f04dc49018956a353a1ad75c4,koala-13b,oasst-pythia-12b,model_a,arena_user_779,2,English,chatbot_arena
62bef71063304148a17d6693bb4e278f,vicuna-13b,oasst-pythia-12b,model_a,arena_user_943,2,Spanish,chatbot_arena
ea3767755f5e4cd58798e6314351f577,vicuna-13b,koala-13b,model_a,arena_user_1253,1,English,chatbot_arena
dc43ce88c21c4262bc9cdfe363955c51,koala-13b,oasst-pythia-12b,tie,arena_user_1192,6,English,chatbot_arena
b9030dbdfc9e4bc48a47f681cfed94c1,dolly-v2-12b,chatglm-6b,model_a,arena_user_1253,1,English,chatbot_arena
7ca1c90b6b2043e89ed14c37eee23298,vicuna-13b,koala-13b,model_a,arena_user_944,1,Portuguese,chatbot_arena
9169dac428964e81825d4cb9214f5b12,vicuna-13b,chatglm-6b,model_a,arena_user_839,1,English,chatbot_arena
4d1bad8920ad46db91cd3cc716b60595,koala-13b,oasst-pythia-12b,model_a,arena_user_1192,1,English,chatbot_arena
17c2fe034b14436093221dfc0431ec14,dolly-v2-12b,koala-13b,model_a,arena_user_1146,1,French,chatbot_arena
9defc9b54b984e939053b6a919095a8f,vicuna-13b,alpaca-13b,model_a,arena_user_838,1,English,chatbot_arena
6ef71d0a4e9345d2b505217830fd39af,koala-13b,vicuna-13b,model_a,arena_user_945,1,English,chatbot_arena
b8bac339a7d54685b4f79f5886cccf0c,vicuna-13b,stablelm-tuned-alpha-7b,model_b,arena_user_1093,1,English,chatbot_arena
732fed08ab5040269799a7a83cd5ab5a,vicuna-13b,dolly-v2-12b,model_a,arena_user_1192,2,English,chatbot_arena
965d668508cf4cf6b52a55feca402646,chatglm-6b,vicuna-13b,tie,arena_user_779,1,English,chatbot_arena
dd8e8d837ad8493bb83d0ef16a3367a5,vicuna-13b,koala-13b,model_b,arena_user_1093,1,English,chatbot_arena
ea8b18c9237e4b66a52fb25b488b7c7a,vicuna-13b,alpaca-13b,model_a,arena_user_898,3,English,chatbot_arena
5010273f473a4a459ff70f383c531a0c,vicuna-13b,koala-13b,tie,arena_user_1147,1,English,chatbot_arena
ae732d9e96d142f7b081f65a6eefd949,vicuna-13b,dolly-v2-12b,model_a,arena_user_1192,1,English,chatbot_arena
654c71391d144e72a1a93a1a8d4a7efb,vicuna-13b,stablelm-tuned-alpha-7b,model_a,arena_user_837,2,English,chatbot_arena
9563e13fd05b4c25a3e65918f194f9f8,koala-13b,vicuna-13b,model_a,arena_user_1094,1,English,chatbot_arena
ea200a1678b44df889702f513cccea76,koala-13b,vicuna-13b,tie,arena_user_1200,1,English,chatbot_arena
bbd7096ee64b4e89ab3f7aba619eff91,vicuna-13b,koala-13b,model_b,arena_user_1093,1,English,chatbot_arena
702a9c85c7d5482d8a6ebf50d623f2be,koala-13b,vicuna-13b,model_b,arena_user_946,1,English,chatbot_arena
14728d76ca464160adb89c11dc1c11f6,alpaca-13b,vicuna-13b,model_a,arena_user_1200,1,English,chatbot_arena
630d45dfa5a742e990aa67eb1f7c9912,alpaca-13b,koala-13b,tie,arena_user_1252,1,English,chatbot_arena
59caa41ea2d0442ba027576fbe4092ff,alpaca-13b,dolly-v2-12b,model_a,arena_user_1200,1,English,chatbot_arena
e048a85517ef4046b938632dfaead775,vicuna-13b,koala-13b,tie,arena_user_996,1,English,chatbot_arena
a0a4f2fed0e749c5929c957c11f0163f,oasst-pythia-12b,vicuna-13b,tie,arena_user_898,1,English,chatbot_arena
037f5195517046958affa02cf56cac75,stablelm-tuned-alpha-7b,vicuna-13b,model_b,arena_user_996,1,English,chatbot_arena
696b6556202d4326b8c1b80b14d3458c,chatglm-6b,vicuna-13b,model_b,arena_user_1082,1,English,chatbot_arena
6a389c1f5e3943028603fad9b581cb5c,koala-13b,alpaca-13b,tie,arena_user_1200,1,English,chatbot_arena
c67e86f00a2444fda94e7c9007460b90,alpaca-13b,vicuna-13b,model_b,arena_user_788,1,English,chatbot_arena
bd6be5aea2c444b4814605c1d0ec4c45,alpaca-13b,koala-13b,model_b,arena_user_947,1,English,chatbot_arena
43d9b5d70b9f4582aaf141e8df086721,dolly-v2-12b,vicuna-13b,model_b,arena_user_840,1,English,chatbot_arena
dee3d3fc14854433b7f69cdc9a24bd2e,dolly-v2-12b,vicuna-13b,model_b,arena_user_1201,2,Chinese,chatbot_arena
cf1d55f8ef2042df96b9c7ce6b966dfe,koala-13b,oasst-pythia-12b,model_a,arena_user_1200,1,English,chatbot_arena
f2f95a39872a4c8f97a305bae5fe0409,vicuna-13b,oasst-pythia-12b,model_a,arena_user_838,1,English,chatbot_arena
f262769b4863484e8928109448920d2f,vicuna-13b,oasst-pythia-12b,tie,arena_user_1095,1,Spanish,chatbot_arena
304fdfc0fb7140b3a1cb29d2093dfbba,vicuna-13b,alpaca-13b,model_b,arena_user_1200,1,English,chatbot_arena
6f4c2ad6992541cdabe5006a82317c8c,dolly-v2-12b,alpaca-13b,model_b,arena_user_1148,1,English,chatbot_arena
56f120d800ef4edd82ea232e4dc281a6,vicuna-13b,alpaca-13b,model_b,arena_user_1148,1,English,chatbot_arena
2e7258432c13451a9ad80b072459eef4,koala-13b,vicuna-13b,model_b,arena_user_841,1,English,chatbot_arena
299196752ec74350a5e3d28f6eb59474,koala-13b,vicuna-13b,model_b,arena_user_842,1,English,chatbot_arena
